NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POU5F1	2028	0.7997424006462097	-0.11552921	No	
row_1	TBX18	3814	0.32700517773628235	-0.2422765	No	
row_2	TBX1	4748	0.17323647439479828	-0.30837202	No	
row_3	SOX9	5753	0.03367558494210243	-0.3896534	No	
row_4	DLL1	6181	-0.01548358891159296	-0.42414507	No	
row_5	TBX6	6253	-0.024883249774575233	-0.42839688	No	
row_6	FOXA2	7520	-0.19423122704029083	-0.52079797	No	
row_7	SMAD4	8449	-0.3665941655635834	-0.5736211	No	
row_8	TBX3	8931	-0.4694646894931793	-0.5824193	No	
row_9	TBX19	9565	-0.6408491730690002	-0.59246653	Yes	
row_10	RBPJ	9568	-0.6413776874542236	-0.54998714	Yes	
row_11	SIX2	10689	-1.059533715248108	-0.57270813	Yes	
row_12	MGA	10941	-1.1968392133712769	-0.51400936	Yes	
row_13	ISL1	11037	-1.248643159866333	-0.43888885	Yes	
row_14	APC	11303	-1.4457392692565918	-0.36480516	Yes	
row_15	EYA2	11382	-1.5071220397949219	-0.27108395	Yes	
row_16	SOX2	11743	-1.9995183944702148	-0.16808185	Yes	
row_17	NRP1	11954	-2.895721197128296	0.006987709	Yes	
