NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CENPT	1505	1.044647216796875	-0.06662257	No	
row_1	POGZ	6079	-0.0032282043248414993	-0.44679594	No	
row_2	OIP5	7730	-0.2273699790239334	-0.57128847	No	
row_3	NASP	8007	-0.27698859572410583	-0.5787188	No	
row_4	SUGT1	8425	-0.36253440380096436	-0.59308165	No	
row_5	CENPW	8876	-0.4567737579345703	-0.60490704	No	
row_6	HJURP	9877	-0.7317599654197693	-0.6470646	Yes	
row_7	MIS18A	10174	-0.8354621529579163	-0.6248551	Yes	
row_8	MIS12	10180	-0.8405487537384033	-0.5781568	Yes	
row_9	KNTC1	10505	-0.9807878732681274	-0.5501304	Yes	
row_10	CENPI	10833	-1.137816071510315	-0.51355183	Yes	
row_11	MIS18BP1	10887	-1.1674256324768066	-0.45252395	Yes	
row_12	DLGAP5	11733	-1.985682725906372	-0.41150516	Yes	
row_13	CENPE	11804	-2.153268575668335	-0.29663315	Yes	
row_14	CENPF	11931	-2.6873178482055664	-0.15648454	Yes	
row_15	CENPA	11959	-2.949084520339966	0.0065707415	Yes	
