NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL36G	2	9.425485610961914	0.03496498	Yes	
row_1	IFI27	25	7.448971748352051	0.060874976	Yes	
row_2	IL6	26	7.387532711029053	0.08841218	Yes	
row_3	MX1	27	7.362607479095459	0.11585648	Yes	
row_4	IL1B	28	7.157459735870361	0.14253609	Yes	
row_5	IRAK2	29	7.086523056030273	0.16895127	Yes	
row_6	BIRC3	32	7.045902729034424	0.1950463	Yes	
row_7	OAS1	35	6.895366668701172	0.2205802	Yes	
row_8	OAS2	36	6.8472700119018555	0.24610357	Yes	
row_9	OAS3	39	6.6663923263549805	0.27078396	Yes	
row_10	CSF3	40	6.651383876800537	0.29557717	Yes	
row_11	CSF2	47	6.102384567260742	0.31781772	Yes	
row_12	NFKBIA	48	6.099493980407715	0.34055373	Yes	
row_13	IFITM1	56	5.7086567878723145	0.36124226	Yes	
row_14	IL1A	57	5.542844772338867	0.38190335	Yes	
row_15	PDGFB	70	5.179939270019531	0.4001992	Yes	
row_16	TNF	80	4.7930192947387695	0.41730595	Yes	
row_17	SOCS3	84	4.694581508636475	0.43455198	Yes	
row_18	STAT1	103	4.280980587005615	0.4489907	Yes	
row_19	NFKB1	107	4.2198052406311035	0.46446702	Yes	
row_20	IFITM3	108	4.217900276184082	0.48018935	Yes	
row_21	IKBKE	129	3.9224307537078857	0.49312282	Yes	
row_22	F3	139	3.7586522102355957	0.50637394	Yes	
row_23	IL7R	170	3.406096935272217	0.51653904	Yes	
row_24	STAT5A	171	3.4016220569610596	0.5292187	Yes	
row_25	TRAF3	179	3.3617477416992188	0.54115903	Yes	
row_26	IFNGR1	240	2.8241806030273438	0.54662377	Yes	
row_27	LYN	285	2.6358227729797363	0.55273646	Yes	
row_28	IRAK3	289	2.616597890853882	0.5622367	Yes	
row_29	DUOX2	297	2.598174810409546	0.5713309	Yes	
row_30	STAT2	407	2.227684259414673	0.57043785	Yes	
row_31	OSMR	411	2.2141976356506348	0.5784382	Yes	
row_32	IFITM2	433	2.1826727390289307	0.5848023	Yes	
row_33	IFNGR2	467	2.109227180480957	0.58988017	Yes	
row_34	IL33	476	2.0976204872131348	0.59702414	Yes	
row_35	SP100	518	1.9861204624176025	0.6009681	Yes	
row_36	TNIP2	524	1.9712995290756226	0.6078943	Yes	
row_37	EREG	533	1.9517017602920532	0.6144943	Yes	
row_38	IRF1	622	1.814659833908081	0.6138336	Yes	
row_39	MAPK3	624	1.8101444244384766	0.62049663	Yes	
row_40	SRC	690	1.7087271213531494	0.62138164	Yes	
row_41	HCLS1	719	1.6676536798477173	0.6252354	Yes	
row_42	TRAF2	793	1.5721336603164673	0.6249362	Yes	
row_43	CIB1	913	1.4421985149383545	0.62027156	Yes	
row_44	IL4R	934	1.4195939302444458	0.6238757	Yes	
row_45	CXCL10	935	1.418225884437561	0.62916213	Yes	
row_46	STAT3	937	1.416028380393982	0.634356	Yes	
row_47	MYD88	965	1.3927786350250244	0.63726956	Yes	
row_48	CLCF1	1098	1.28406822681427	0.63091856	Yes	
row_49	HAX1	1151	1.2462577819824219	0.6311766	Yes	
row_50	IFNAR2	1185	1.2174395322799683	0.6329303	Yes	
row_51	TRIM65	1196	1.2114356756210327	0.6366022	Yes	
row_52	HDAC4	1230	1.1917723417282104	0.63826025	Yes	
row_53	RAF1	1326	1.1410201787948608	0.6344979	Yes	
row_54	STAT6	1336	1.1347662210464478	0.6379684	Yes	
row_55	LRP8	1368	1.1210317611694336	0.6395315	Yes	
row_56	CSNK2B	1405	1.0963234901428223	0.6405806	Yes	
row_57	P4HB	1421	1.084694266319275	0.6433582	Yes	
row_58	ILK	1438	1.0753897428512573	0.6460168	Yes	
row_59	IL15RA	1502	1.0458929538726807	0.6445998	No	
row_60	JAK1	1612	0.9917203187942505	0.6390997	No	
row_61	AKT1	1733	0.9270659685134888	0.6324305	No	
row_62	IL17RC	1748	0.9184653162956238	0.6346728	No	
row_63	MKKS	1766	0.9093210101127625	0.63662803	No	
row_64	RELA	1778	0.9035739302635193	0.639068	No	
row_65	OXSR1	1862	0.8695257306098938	0.6353061	No	
row_66	IRAK1	2015	0.806915819644928	0.62548906	No	
row_67	TRAF3IP2	2086	0.7752575874328613	0.6224727	No	
row_68	PTK2B	2287	0.709648072719574	0.60824317	No	
row_69	ADIPOR2	2336	0.6917654871940613	0.60677177	No	
row_70	TYK2	2358	0.6833732724189758	0.6075472	No	
row_71	IKBKB	2381	0.6726953983306885	0.60819846	No	
row_72	ADIPOR1	2412	0.6640377640724182	0.60814244	No	
row_73	EPOR	2464	0.6468250751495361	0.60625046	No	
row_74	EIF5A	2555	0.6133109331130981	0.6009429	No	
row_75	CXCL17	2847	0.5332410335540771	0.5783778	No	
row_76	CEACAM1	2861	0.5284625887870789	0.57925075	No	
row_77	TP53	2868	0.5266326665878296	0.58070755	No	
row_78	CISH	2875	0.5252587199211121	0.5821592	No	
