NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FIBP	1354	1.126662254333496	-0.059862144	No	
row_1	FGFR1	2856	0.5309500098228455	-0.15986864	No	
row_2	PTPN11	3584	0.3733406066894531	-0.2028623	No	
row_3	FRS3	4428	0.22268648445606232	-0.2625667	No	
row_4	FGF5	4487	0.21587634086608887	-0.2572769	No	
row_5	ZDHHC16	5590	0.05423669144511223	-0.34642366	No	
row_6	GALNT3	5717	0.038690268993377686	-0.3550941	No	
row_7	FGF2	6562	-0.06195889785885811	-0.422413	No	
row_8	KIF16B	7931	-0.2620503604412079	-0.5239537	No	
row_9	SHCBP1	8021	-0.27983328700065613	-0.5182463	No	
row_10	RAB14	10070	-0.7972358465194702	-0.65128654	Yes	
row_11	FRS2	10083	-0.8006539344787598	-0.61476815	Yes	
row_12	SHOC2	10522	-0.9884992241859436	-0.6048916	Yes	
row_13	CEP57	10649	-1.040108561515808	-0.56663793	Yes	
row_14	FGFR3	11340	-1.4720948934555054	-0.555068	Yes	
row_15	FLRT2	11793	-2.1165354251861572	-0.49349913	Yes	
row_16	FGFR2	11849	-2.2754483222961426	-0.39145294	Yes	
row_17	CHURC1	11869	-2.3590357303619385	-0.28249475	Yes	
row_18	FLRT3	11939	-2.788344144821167	-0.15758023	Yes	
row_19	FGF1	11998	-3.53696346282959	0.0033280833	Yes	
