NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL20	1	9.95085620880127	0.04758875	Yes	
row_1	INHBA	3	8.808507919311523	0.08970474	Yes	
row_2	HBEGF	17	7.797242164611816	0.12597	Yes	
row_3	LIF	20	7.6892900466918945	0.16264021	Yes	
row_4	IL6	26	7.387532711029053	0.19761327	Yes	
row_5	IL1B	28	7.157459735870361	0.2318194	Yes	
row_6	IRAK2	29	7.086523056030273	0.26576954	Yes	
row_7	CSF3	40	6.651383876800537	0.2967967	Yes	
row_8	NFKBIA	48	6.099493980407715	0.32543138	Yes	
row_9	IFITM1	56	5.7086567878723145	0.3521936	Yes	
row_10	IL1A	57	5.542844772338867	0.37874827	Yes	
row_11	EDN1	69	5.181379795074463	0.4026491	Yes	
row_12	ITGB3	86	4.630553722381592	0.42349193	Yes	
row_13	NFKB1	107	4.2198052406311035	0.4420316	Yes	
row_14	PLAUR	109	4.200084209442139	0.4620695	Yes	
row_15	IRF7	124	4.008362770080566	0.48009917	Yes	
row_16	BST2	128	3.9442877769470215	0.498744	Yes	
row_17	F3	139	3.7586522102355957	0.51591265	Yes	
row_18	CXCL6	143	3.694406270980835	0.53336036	Yes	
row_19	LDLR	165	3.465073585510254	0.5482004	Yes	
row_20	IL7R	170	3.406096935272217	0.56418306	Yes	
row_21	SLC11A2	200	3.0792582035064697	0.5765041	Yes	
row_22	CD82	236	2.840060234069824	0.5871762	Yes	
row_23	NAMPT	254	2.7774782180786133	0.5990575	Yes	
row_24	PDPN	263	2.732285499572754	0.61147666	Yes	
row_25	LYN	285	2.6358227729797363	0.62234396	Yes	
row_26	MYC	317	2.5197856426239014	0.63181704	Yes	
row_27	GNA15	373	2.338691473007202	0.6384106	Yes	
row_28	OSMR	411	2.2141976356506348	0.64591676	Yes	
row_29	IFNGR2	467	2.109227180480957	0.65141106	Yes	
row_30	LAMP3	494	2.050110340118408	0.65905315	Yes	
row_31	KCNJ2	532	1.9543520212173462	0.6653144	Yes	
row_32	EREG	533	1.9517017602920532	0.67466456	Yes	
row_33	P2RY2	542	1.9349154233932495	0.6832637	Yes	
row_34	SLC7A1	566	1.9024096727371216	0.6904497	Yes	
row_35	CSF1	607	1.8321489095687866	0.69587404	Yes	
row_36	IRF1	622	1.814659833908081	0.7033941	Yes	
row_37	SRI	644	1.7781054973602295	0.7101522	Yes	
row_38	MARCO	670	1.7382121086120605	0.71638393	Yes	
row_39	CD55	964	1.3943896293640137	0.6985022	No	
row_40	NOD2	1005	1.3540037870407104	0.7016358	No	
row_41	TAPBP	1080	1.29537034034729	0.7016383	No	
row_42	TPBG	1084	1.2901707887649536	0.70756775	No	
row_43	CD40	1187	1.215793251991272	0.7048418	No	
row_44	RAF1	1326	1.1410201787948608	0.6987397	No	
row_45	EIF2AK2	1340	1.133918285369873	0.7030823	No	
row_46	SLC7A2	1342	1.1323753595352173	0.7084235	No	
row_47	PSEN1	1385	1.1116725206375122	0.71022844	No	
row_48	IL15RA	1502	1.0458929538726807	0.7055149	No	
row_49	LPAR1	1561	1.0182796716690063	0.7055312	No	
row_50	RELA	1778	0.9035739302635193	0.6917529	No	
row_51	ICOSLG	1917	0.8493987917900085	0.68425375	No	
row_52	ROS1	2033	0.7980827689170837	0.6784368	No	
row_53	ADRM1	2081	0.7766715288162231	0.67821777	No	
row_54	TIMP1	2098	0.7699688673019409	0.68056524	No	
row_55	KLF6	2141	0.7534366250038147	0.680654	No	
row_56	TLR1	2159	0.7493794560432434	0.682819	No	
row_57	SEMA4D	2575	0.6046217083930969	0.6509265	No	
row_58	LY6E	2587	0.601301372051239	0.6528851	No	
row_59	P2RX4	2997	0.49760568141937256	0.62098277	No	
row_60	MMP14	3091	0.4764711558818817	0.61546934	No	
row_61	CDKN1A	3165	0.46115630865097046	0.6115591	No	
row_62	BDKRB1	3211	0.4528787434101105	0.60995644	No	
row_63	ITGB8	3229	0.44910475611686707	0.6106829	No	
row_64	MXD1	3236	0.4473637342453003	0.61232316	No	
row_65	RTP4	3589	0.372096985578537	0.5845979	No	
row_66	GABBR1	3649	0.35936444997787476	0.58137363	No	
row_67	HAS2	3813	0.327055424451828	0.5692763	No	
row_68	IFNAR1	4097	0.27870193123817444	0.5468878	No	
row_69	ACVR1B	4218	0.2563930153846741	0.5380566	No	
row_70	MET	4330	0.23600532114505768	0.5298822	No	
row_71	RGS16	4408	0.22518949210643768	0.5245062	No	
row_72	IL1R1	4532	0.2085534781217575	0.5151943	No	
row_73	PTGER4	4543	0.20681807398796082	0.5153468	No	
row_74	ADORA2B	4567	0.20372611284255981	0.51439476	No	
row_75	HRH1	4760	0.17096617817878723	0.49911863	No	
row_76	OLR1	4803	0.16481725871562958	0.4963874	No	
row_77	RNF144B	4899	0.15046530961990356	0.48914447	No	
row_78	IL18R1	4942	0.1437230259180069	0.48631218	No	
row_79	KIF1B	5051	0.1305660605430603	0.4778841	No	
row_80	SLC31A2	5529	0.06241009384393692	0.43819654	No	
row_81	ADM	5828	0.02529466338455677	0.41333658	No	
row_82	GNAI3	6111	-0.007348915562033653	0.3897319	No	
row_83	SLC31A1	6150	-0.01213818322867155	0.38660455	No	
row_84	RIPK2	6254	-0.02512412518262863	0.3780905	No	
row_85	PTPRE	6292	-0.030208785086870193	0.37513354	No	
row_86	SPHK1	6352	-0.0362684465944767	0.37036136	No	
row_87	HIF1A	6483	-0.05192532390356064	0.35971233	No	
row_88	ATP2B1	6808	-0.09433647990226746	0.33300358	No	
row_89	CCL5	6912	-0.1077452227473259	0.32488534	No	
row_90	ATP2C1	7364	-0.16742469370365143	0.28788042	No	
row_91	EMP3	7461	-0.18478111922740936	0.28071803	No	
row_92	ABCA1	7943	-0.2645820081233978	0.2416637	No	
row_93	AXL	8779	-0.4360828399658203	0.1737554	No	
row_94	CX3CL1	9015	-0.48944753408432007	0.15640035	No	
row_95	TNFSF10	9306	-0.5619115829467773	0.13478187	No	
row_96	ATP2A2	9553	-0.6356530785560608	0.11720514	No	
row_97	BTG2	9597	-0.6471453905105591	0.11670082	No	
