NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFAIP3	4	8.668220520019531	0.03242923	Yes	
row_1	IRF9	14	8.003260612487793	0.06192493	Yes	
row_2	IFI27	25	7.448971748352051	0.08924145	Yes	
row_3	IL6	26	7.387532711029053	0.1171658	Yes	
row_4	MX1	27	7.362607479095459	0.14499593	Yes	
row_5	OAS2	36	6.8472700119018555	0.17020607	Yes	
row_6	TNFAIP2	38	6.7388715744018555	0.1955945	Yes	
row_7	OAS3	39	6.6663923263549805	0.220793	Yes	
row_8	NFKBIA	48	6.099493980407715	0.2431766	Yes	
row_9	XAF1	53	5.8397650718688965	0.26491448	Yes	
row_10	IFI44	60	5.30719518661499	0.28447124	Yes	
row_11	PLSCR1	73	4.9493489265441895	0.30217138	Yes	
row_12	PARP12	75	4.873907566070557	0.3205104	Yes	
row_13	MX2	79	4.796943664550781	0.33839047	Yes	
row_14	IFI44L	82	4.756222248077393	0.35620064	Yes	
row_15	SOCS3	84	4.694581508636475	0.37386182	Yes	
row_16	STAT1	103	4.280980587005615	0.3885315	Yes	
row_17	IFIH1	104	4.266077518463135	0.40465698	Yes	
row_18	NFKB1	107	4.2198052406311035	0.42043954	Yes	
row_19	IFITM3	108	4.217900276184082	0.4363829	Yes	
row_20	IRF7	124	4.008362770080566	0.45027414	Yes	
row_21	BST2	128	3.9442877769470215	0.46493125	Yes	
row_22	EPSTI1	176	3.3705575466156006	0.47372347	Yes	
row_23	TAP1	182	3.319263458251953	0.48585	Yes	
row_24	PTGS2	199	3.082746744155884	0.49615848	Yes	
row_25	UBE2L6	208	2.9848997592926025	0.5067691	Yes	
row_26	HELZ2	212	2.9666011333465576	0.51773065	Yes	
row_27	IFIT3	216	2.942748785018921	0.528602	Yes	
row_28	HERC6	218	2.9368834495544434	0.5396192	Yes	
row_29	SLC25A28	224	2.8916516304016113	0.5501295	Yes	
row_30	TRIM14	225	2.880002498626709	0.56101567	Yes	
row_31	IFI35	245	2.8046181201934814	0.5700208	Yes	
row_32	NAMPT	254	2.7774782180786133	0.5798474	Yes	
row_33	TRIM25	258	2.7509500980377197	0.5899938	Yes	
row_34	PSMB8	259	2.7488765716552734	0.60038435	Yes	
row_35	IFIT1	262	2.734227180480957	0.61055154	Yes	
row_36	PSME2	283	2.6462435722351074	0.618874	Yes	
row_37	C1S	287	2.632459878921509	0.6285725	Yes	
row_38	SAMD9L	294	2.605161428451538	0.6379158	Yes	
row_39	PML	312	2.533876419067383	0.6460656	Yes	
row_40	PARP14	315	2.52891206741333	0.65545666	Yes	
row_41	LAP3	322	2.4929041862487793	0.66437566	Yes	
row_42	C1R	335	2.4482297897338867	0.6726217	Yes	
row_43	BTG1	340	2.432108163833618	0.6814789	Yes	
row_44	TOR1B	361	2.3640525341033936	0.6887347	Yes	
row_45	ST3GAL5	372	2.343630313873291	0.69675344	Yes	
row_46	CD74	392	2.2973718643188477	0.7038412	Yes	
row_47	ISG15	395	2.288935899734497	0.7123252	Yes	
row_48	STAT2	407	2.227684259414673	0.7198217	Yes	
row_49	IFITM2	433	2.1826727390289307	0.7259719	Yes	
row_50	PNP	439	2.163551092147827	0.7337299	Yes	
row_51	TRIM21	477	2.0940089225769043	0.7385369	Yes	
row_52	ISG20	517	1.9876923561096191	0.74277407	Yes	
row_53	ADAR	548	1.9265902042388916	0.74753624	Yes	
row_54	ZNFX1	563	1.907206654548645	0.7535693	Yes	
row_55	HLA-B	619	1.8183538913726807	0.75582224	Yes	
row_56	IRF1	622	1.814659833908081	0.7625135	Yes	
row_57	SRI	644	1.7781054973602295	0.76747054	Yes	
row_58	LGALS3BP	709	1.6786351203918457	0.7684393	Yes	
row_59	NUP93	761	1.605670690536499	0.77022433	Yes	
row_60	MTHFD2	826	1.5312694311141968	0.7706361	Yes	
row_61	STAT3	937	1.416028380393982	0.76674795	No	
row_62	MYD88	965	1.3927786350250244	0.76974446	No	
row_63	TAPBP	1080	1.29537034034729	0.76506424	No	
row_64	IFNAR2	1185	1.2174395322799683	0.7609295	No	
row_65	CD40	1187	1.215793251991272	0.7654411	No	
row_66	DHX58	1228	1.1920125484466553	0.7665866	No	
row_67	SERPING1	1273	1.1685223579406738	0.7673073	No	
row_68	EIF2AK2	1340	1.133918285369873	0.7660491	No	
row_69	RNF213	1402	1.101548194885254	0.7650885	No	
row_70	IL15RA	1502	1.0458929538726807	0.7607254	No	
row_71	PFKP	1703	0.9420589208602905	0.7474852	No	
row_72	HLA-A	2146	0.7529234886169434	0.71320087	No	
row_73	USP18	2254	0.7177778482437134	0.70692545	No	
row_74	MVP	2428	0.6588882803916931	0.69488305	No	
row_75	PSMB10	2552	0.614631175994873	0.6868736	No	
row_76	LY6E	2587	0.601301372051239	0.6862903	No	
row_77	VAMP5	2742	0.5601077675819397	0.67547065	No	
row_78	MT2A	2884	0.5222533345222473	0.6656	No	
row_79	CDKN1A	3165	0.46115630865097046	0.64382166	No	
row_80	PSMB2	3209	0.4532996714115143	0.64192283	No	
row_81	OASL	3330	0.423893541097641	0.6334445	No	
row_82	RTP4	3589	0.372096985578537	0.6131776	No	
row_83	RNF31	3674	0.35398736596107483	0.6074592	No	
row_84	IDO1	3711	0.3457444906234741	0.60574186	No	
row_85	SP110	3901	0.3128160834312439	0.5910473	No	
row_86	RBCK1	3982	0.29954779148101807	0.5854591	No	
row_87	TDRD7	4256	0.24983543157577515	0.56347	No	
row_88	HLA-G	4314	0.23866158723831177	0.55958384	No	
row_89	IRF2	4383	0.2278369814157486	0.5547327	No	
row_90	IFI30	4465	0.21887661516666412	0.5487556	No	
row_91	CASP4	4527	0.20956403017044067	0.5444234	No	
row_92	CASP8	4673	0.18476614356040955	0.53294104	No	
row_93	RIPK1	5121	0.12029460817575455	0.49584532	No	
row_94	NOD1	5206	0.10695366561412811	0.48919314	No	
row_95	OGFR	5272	0.09820543229579926	0.484104	No	
row_96	HLA-DMA	5451	0.07176801562309265	0.4694223	No	
row_97	VAMP8	5469	0.06981737911701202	0.46825814	No	
row_98	IL18BP	5477	0.06830582767724991	0.4679283	No	
row_99	PELI1	6219	-0.01956435665488243	0.40575427	No	
row_100	RIPK2	6254	-0.02512412518262863	0.40299305	No	
row_101	HIF1A	6483	-0.05192532390356064	0.3840361	No	
row_102	LATS2	6695	-0.07958843559026718	0.3666118	No	
row_103	CCL5	6912	-0.1077452227473259	0.3488739	No	
row_104	B2M	7042	-0.12408989667892456	0.33850625	No	
row_105	AUTS2	7362	-0.16724629700183868	0.31234074	No	
row_106	PNPT1	7425	-0.1779007762670517	0.30780485	No	
row_107	CASP3	7484	-0.18820935487747192	0.30364394	No	
row_108	TRAFD1	7496	-0.19002319872379303	0.30343816	No	
row_109	SPPL2A	7739	-0.2282698154449463	0.2839717	No	
row_110	EIF4E3	7952	-0.2658005952835083	0.26716727	No	
row_111	PIM1	7990	-0.2733187973499298	0.2650922	No	
row_112	RSAD2	8018	-0.27932652831077576	0.2638799	No	
row_113	PTPN6	8067	-0.28904464840888977	0.2609402	No	
row_114	SSPN	8331	-0.3433440029621124	0.2401446	No	
row_115	STAT4	8493	-0.3738570213317871	0.22803289	No	
row_116	FAS	8634	-0.4060122072696686	0.21780683	No	
row_117	RAPGEF6	8646	-0.40864306688308716	0.21842742	No	
row_118	PTPN1	8653	-0.40960460901260376	0.21947166	No	
row_119	ISOC1	8816	-0.4436939060688019	0.20753992	No	
row_120	CFH	8869	-0.4547441899776459	0.20489053	No	
row_121	TXNIP	8994	-0.4849126636981964	0.19630681	No	
row_122	TNFSF10	9306	-0.5619115829467773	0.17230512	No	
row_123	BANK1	9391	-0.5895097851753235	0.16747698	No	
row_124	SECTM1	9507	-0.6228643655776978	0.16017073	No	
row_125	ARID5B	10039	-0.7863495349884033	0.11853623	No	
row_126	PSMA2	10359	-0.9186105728149414	0.0952108	No	
row_127	NMI	10769	-1.1006479263305664	0.06501297	No	
row_128	GBP4	10886	-1.1664594411849976	0.059677478	No	
row_129	ITGB7	11086	-1.27975594997406	0.04779779	No	
row_130	IFIT2	11108	-1.2906261682510376	0.050912153	No	
row_131	IL15	11162	-1.3300318717956543	0.051487293	No	
row_132	ARL4A	11388	-1.5129492282867432	0.03830492	No	
row_133	LYSMD2	11399	-1.5222702026367188	0.04321894	No	
row_134	SLAMF7	11935	-2.7451746463775635	0.008652627	No	
