NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL20	1	9.95085620880127	0.04738529	Yes	
row_1	INHBA	3	8.808507919311523	0.089321174	Yes	
row_2	TNFAIP3	4	8.668220520019531	0.13067164	Yes	
row_3	HBEGF	17	7.797242164611816	0.16686168	Yes	
row_4	LIF	20	7.6892900466918945	0.20337471	Yes	
row_5	IL1B	28	7.157459735870361	0.23693176	Yes	
row_6	BIRC3	32	7.045902729034424	0.2702918	Yes	
row_7	PLAT	34	6.988145351409912	0.30354393	Yes	
row_8	SERPINA3	46	6.114709854125977	0.3317915	Yes	
row_9	CSF2	47	6.102384567260742	0.360902	Yes	
row_10	MMP9	50	6.001958847045898	0.38936588	Yes	
row_11	G0S2	62	5.301146984100342	0.41373247	Yes	
row_12	SLPI	92	4.5289835929870605	0.43290728	Yes	
row_13	PLAUR	109	4.200084209442139	0.45160246	Yes	
row_14	ADAM8	114	4.166686534881592	0.47114384	Yes	
row_15	PRDM1	116	4.1555867195129395	0.49088365	Yes	
row_16	BMP2	118	4.095542907714844	0.51033705	Yes	
row_17	ALDH1A3	158	3.5429306030273438	0.52397007	Yes	
row_18	ANGPTL4	163	3.4988505840301514	0.54032564	Yes	
row_19	IL7R	170	3.406096935272217	0.55607116	Yes	
row_20	HSD11B1	174	3.3807053565979004	0.571947	Yes	
row_21	WNT7A	197	3.1117613315582275	0.58494765	Yes	
row_22	PTGS2	199	3.082746744155884	0.5995697	Yes	
row_23	PPP1R15A	213	2.9642796516418457	0.612621	Yes	
row_24	MMP10	252	2.7882440090179443	0.6227377	Yes	
row_25	PSMB8	259	2.7488765716552734	0.6353481	Yes	
row_26	TRIB2	274	2.671517848968506	0.646919	Yes	
row_27	PLEK2	329	2.467820405960083	0.6541665	Yes	
row_28	EPB41L3	332	2.458529233932495	0.66572696	Yes	
row_29	GLRX	357	2.373854875564575	0.67504	Yes	
row_30	AKAP12	397	2.2743988037109375	0.6826217	Yes	
row_31	IL33	476	2.0976204872131348	0.6860922	Yes	
row_32	EREG	533	1.9517017602920532	0.69071	Yes	
row_33	ETV4	560	1.9092862606048584	0.69763935	Yes	
row_34	HDAC9	718	1.6678869724273682	0.69244003	No	
row_35	PDCD1LG2	769	1.5971648693084717	0.6958694	No	
row_36	TRIB1	1184	1.2180215120315552	0.66698897	No	
row_37	YRDC	1349	1.1294625997543335	0.65863466	No	
row_38	CTSS	1409	1.0938111543655396	0.65890867	No	
row_39	EMP1	1517	1.0411365032196045	0.65490925	No	
row_40	SPRY2	1557	1.0191913843154907	0.6565032	No	
row_41	MMD	1879	0.8644402027130127	0.6337289	No	
row_42	JUP	1911	0.8510161638259888	0.63519096	No	
row_43	IGF2	1975	0.8218197822570801	0.6338323	No	
row_44	PIGR	2264	0.7150810360908508	0.6131108	No	
row_45	MALL	3132	0.46701595187187195	0.542689	No	
row_46	LAT2	3313	0.42844581604003906	0.5296499	No	
row_47	LCP1	4035	0.28857001662254333	0.47061086	No	
row_48	TMEM158	4206	0.2577694058418274	0.4575955	No	
row_49	TRAF1	4331	0.23584014177322388	0.44833004	No	
row_50	RGS16	4408	0.22518949210643768	0.44303593	No	
row_51	PPBP	4679	0.18396355211734772	0.42128906	No	
row_52	SCG5	4889	0.15240831673145294	0.4045031	No	
row_53	ETV5	4919	0.14732521772384644	0.40277588	No	
row_54	PEG3	5097	0.12411335110664368	0.38853636	No	
row_55	EPHB2	5164	0.11345618963241577	0.3835472	No	
row_56	KCNN4	5305	0.09398200362920761	0.37226433	No	
row_57	PRKG2	5362	0.08571711927652359	0.36798075	No	
row_58	SDCCAG8	5470	0.06966333836317062	0.35934708	No	
row_59	GALNT3	5717	0.038690268993377686	0.33891827	No	
row_60	SOX9	5753	0.03367558494210243	0.33614612	No	
row_61	ADAM17	5795	0.029159624129533768	0.33284965	No	
row_62	RBM4	5984	0.005857533309608698	0.3171243	No	
row_63	WDR33	6278	-0.028040556237101555	0.29270637	No	
row_64	CBL	6462	-0.049077268689870834	0.27760613	No	
row_65	ENG	6675	-0.07739853113889694	0.260211	No	
row_66	AVL9	6775	-0.09088816493749619	0.25234893	No	
row_67	IL1RL2	7399	-0.1739431619644165	0.20097491	No	
row_68	ITGA2	7469	-0.18554741144180298	0.19607824	No	
row_69	TSPAN1	7681	-0.21810530126094818	0.1794381	No	
row_70	MAFB	7710	-0.22331367433071136	0.17815715	No	
row_71	F2RL1	7713	-0.22354628145694733	0.17905596	No	
row_72	SPP1	7833	-0.24484875798225403	0.17025246	No	
row_73	SEMA3B	8384	-0.35391363501548767	0.12585394	No	
row_74	ATG10	8454	-0.36739495396614075	0.12182475	No	
row_75	CCSER2	8766	-0.43360382318496704	0.097833194	No	
row_76	CFH	8869	-0.4547441899776459	0.091455474	No	
row_77	MPZL2	8871	-0.4552867114543915	0.09354356	No	
row_78	CROT	8872	-0.45545411109924316	0.09571624	No	
row_79	FUCA1	9091	-0.504967987537384	0.079857975	No	
row_80	CDADC1	9188	-0.5291464328765869	0.074337944	No	
row_81	ANXA10	9263	-0.5510775446891785	0.07076601	No	
row_82	ST6GAL1	9402	-0.5914587378501892	0.062023874	No	
row_83	KLF4	9440	-0.603991687297821	0.06180474	No	
row_84	CBX8	9476	-0.6120955348014832	0.061791856	No	
row_85	TFPI	9619	-0.6518313884735107	0.053002547	No	
row_86	NAP1L2	9624	-0.653217077255249	0.055783443	No	
row_87	TSPAN7	9826	-0.7183955907821655	0.04236781	No	
