NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRF9	14	8.003260612487793	0.059043884	Yes	
row_1	IFI27	25	7.448971748352051	0.11425149	Yes	
row_2	MX1	27	7.362607479095459	0.16956066	Yes	
row_3	OAS1	35	6.895366668701172	0.22085364	Yes	
row_4	OAS2	36	6.8472700119018555	0.27236912	Yes	
row_5	OAS3	39	6.6663923263549805	0.32235682	Yes	
row_6	XAF1	53	5.8397650718688965	0.3652071	Yes	
row_7	IFITM1	56	5.7086567878723145	0.4079893	Yes	
row_8	IFI6	68	5.209967136383057	0.44626823	Yes	
row_9	MX2	79	4.796943664550781	0.48152328	Yes	
row_10	SOCS3	84	4.694581508636475	0.5165091	Yes	
row_11	STAT1	103	4.280980587005615	0.54721445	Yes	
row_12	IFITM3	108	4.217900276184082	0.57861394	Yes	
row_13	IRF7	124	4.008362770080566	0.6075187	Yes	
row_14	BST2	128	3.9442877769470215	0.63694316	Yes	
row_15	SAMHD1	142	3.699425458908081	0.66369057	Yes	
row_16	IFIT3	216	2.942748785018921	0.6797364	Yes	
row_17	IFI35	245	2.8046181201934814	0.6984995	Yes	
row_18	PSMB8	259	2.7488765716552734	0.7180955	Yes	
row_19	IFIT1	262	2.734227180480957	0.7384995	Yes	
row_20	ISG15	395	2.288935899734497	0.744701	Yes	
row_21	STAT2	407	2.227684259414673	0.76054275	Yes	
row_22	IFITM2	433	2.1826727390289307	0.77487713	Yes	
row_23	ISG20	517	1.9876923561096191	0.7829028	Yes	
row_24	ADAR	548	1.9265902042388916	0.7948931	Yes	
row_25	HLA-B	619	1.8183538913726807	0.80272996	Yes	
row_26	IRF1	622	1.814659833908081	0.8162156	Yes	
row_27	UBC	699	1.698642611503601	0.8226509	Yes	
row_28	UBB	1240	1.1850993633270264	0.7864881	No	
row_29	EIF2AK2	1340	1.133918285369873	0.7867547	No	
row_30	JAK1	1612	0.9917203187942505	0.771593	No	
row_31	IRF6	1637	0.973926305770874	0.77691686	No	
row_32	HLA-A	2146	0.7529234886169434	0.74017394	No	
row_33	USP18	2254	0.7177778482437134	0.7366418	No	
row_34	TYK2	2358	0.6833732724189758	0.7331848	No	
row_35	HLA-F	2850	0.5325462222099304	0.69620305	No	
row_36	OASL	3330	0.423893541097641	0.6594055	No	
row_37	HLA-C	3359	0.41754037141799927	0.6602095	No	
row_38	IFIT5	3529	0.38572975993156433	0.6490035	No	
row_39	PTPN11	3584	0.3733406066894531	0.6473045	No	
row_40	HLA-E	4001	0.2955103814601898	0.6148003	No	
row_41	IFNAR1	4097	0.27870193123817444	0.6089666	No	
row_42	HLA-G	4314	0.23866158723831177	0.5927306	No	
row_43	IRF2	4383	0.2278369814157486	0.5887681	No	
row_44	KPNB1	4631	0.19308948516845703	0.5696014	No	
row_45	HLA-H	4702	0.18091565370559692	0.56511897	No	
row_46	IRF3	5886	0.017104189842939377	0.4664915	No	
row_47	UBA52	6539	-0.0588914155960083	0.41250598	No	
row_48	IRF5	6685	-0.07836709171533585	0.40099108	No	
row_49	IP6K2	7308	-0.16072772443294525	0.3502761	No	
row_50	EGR1	7491	-0.18927991390228271	0.3365069	No	
row_51	RSAD2	8018	-0.27932652831077576	0.29469824	No	
row_52	PTPN6	8067	-0.28904464840888977	0.29286587	No	
row_53	GBP2	8354	-0.34872183203697205	0.27161437	No	
row_54	RPS27A	8378	-0.3528216779232025	0.2723488	No	
row_55	PTPN1	8653	-0.40960460901260376	0.2525571	No	
row_56	ABCE1	9207	-0.5341458320617676	0.21041162	No	
row_57	KPNA1	10548	-0.997614324092865	0.10605476	No	
row_58	RNASEL	10809	-1.1234798431396484	0.09280262	No	
row_59	IFIT2	11108	-1.2906261682510376	0.077635795	No	
