NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DYNLL1	2051	0.7915571928024292	-0.13369803	No	
row_1	IFT122	2349	0.6874901652336121	-0.126205	No	
row_2	IFT43	2959	0.5059506893157959	-0.15320441	No	
row_3	WDPCP	3281	0.4353792667388916	-0.1595279	No	
row_4	IFT20	4797	0.16564026474952698	-0.2779293	No	
row_5	KIF3B	4997	0.13780814409255981	-0.28804174	No	
row_6	IFT57	5214	0.10495436191558838	-0.30110994	No	
row_7	DYNC2LI1	6004	0.004190751817077398	-0.36661968	No	
row_8	TRAF3IP1	6256	-0.02536516636610031	-0.3863334	No	
row_9	IFT140	6380	-0.040465690195560455	-0.39467973	No	
row_10	TTC21A	6654	-0.07441078126430511	-0.4139265	No	
row_11	RABL2B	6677	-0.07754430174827576	-0.41212368	No	
row_12	CLUAP1	7580	-0.2026192545890808	-0.47774237	No	
row_13	IFT46	7905	-0.2580626904964447	-0.49262753	No	
row_14	IFT52	8113	-0.29767799377441406	-0.49591216	No	
row_15	IFT27	8297	-0.33561941981315613	-0.49541965	No	
row_16	WDR19	8311	-0.3394121825695038	-0.48059207	No	
row_17	FUZ	8374	-0.3523118793964386	-0.46924046	No	
row_18	INTU	8445	-0.3658735454082489	-0.45791933	No	
row_19	IFT88	9942	-0.7541549801826477	-0.54715145	Yes	
row_20	IFT81	10269	-0.8815167546272278	-0.5329783	Yes	
row_21	RPGR	10564	-1.003616213798523	-0.5104168	Yes	
row_22	TTC21B	10677	-1.0533621311187744	-0.4703669	Yes	
row_23	WDR35	10702	-1.0700488090515137	-0.4222063	Yes	
row_24	IFT172	10748	-1.0925533771514893	-0.37473965	Yes	
row_25	IFT80	10896	-1.173924207687378	-0.33195302	Yes	
row_26	DYNC2H1	11161	-1.3300073146820068	-0.2915934	Yes	
row_27	IFT74	11289	-1.4369933605194092	-0.23480967	Yes	
row_28	SSX2IP	11551	-1.7044978141784668	-0.17664571	Yes	
row_29	PCM1	11574	-1.7410815954208374	-0.09686347	Yes	
row_30	LCA5	11951	-2.8889429569244385	0.007245183	Yes	
