NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAD1L1	2579	0.6034303903579712	-0.18108296	No	
row_1	KLHL22	2887	0.5217132568359375	-0.1776011	No	
row_2	IK	2926	0.5120157599449158	-0.1522684	No	
row_3	ZNF207	3160	0.46222957968711853	-0.14593755	No	
row_4	TRIP13	4054	0.2851520776748657	-0.20439768	No	
row_5	BUB3	4280	0.24477411806583405	-0.20950319	No	
row_6	MAD2L2	5162	0.11361765116453171	-0.27651104	No	
row_7	BUB1	5755	0.03347925469279289	-0.32392362	No	
row_8	PLK1	6347	-0.03581346943974495	-0.37112308	No	
row_9	ZWILCH	6861	-0.10046660155057907	-0.4082319	No	
row_10	ZW10	7020	-0.1218809187412262	-0.41460007	No	
row_11	BUB1B	7279	-0.15738733112812042	-0.4273158	No	
row_12	CDC20	7316	-0.16177932918071747	-0.42130867	No	
row_13	TPR	8885	-0.4587646424770355	-0.526291	No	
row_14	SPC24	9291	-0.5591372847557068	-0.5288835	No	
row_15	SPC25	10105	-0.809597373008728	-0.5514973	Yes	
row_16	ZWINT	10265	-0.8802809715270996	-0.51574075	Yes	
row_17	KNTC1	10505	-0.9807878732681274	-0.48104954	Yes	
row_18	NUF2	10661	-1.0460420846939087	-0.4357348	Yes	
row_19	TTK	10873	-1.159531593322754	-0.3887652	Yes	
row_20	ATM	11296	-1.4420311450958252	-0.34363618	Yes	
row_21	APC	11303	-1.4457392692565918	-0.26367456	Yes	
row_22	MAD2L1	11394	-1.5168453454971313	-0.18674743	Yes	
row_23	NDC80	11491	-1.6283719539642334	-0.10411283	Yes	
row_24	CENPF	11931	-2.6873178482055664	0.008906236	Yes	
