NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAD1L1	2579	0.6034303903579712	-0.18329845	No	
row_1	KLHL22	2887	0.5217132568359375	-0.1817054	No	
row_2	IK	2926	0.5120157599449158	-0.15822276	No	
row_3	ZNF207	3160	0.46222957968711853	-0.15356484	No	
row_4	TRIP13	4054	0.2851520776748657	-0.21306738	No	
row_5	BUB3	4280	0.24477411806583405	-0.2190602	No	
row_6	MAD2L2	5162	0.11361765116453171	-0.28649068	No	
row_7	BUB1	5755	0.03347925469279289	-0.33403242	No	
row_8	PLK1	6347	-0.03581346943974495	-0.3813694	No	
row_9	CHFR	6597	-0.06639415770769119	-0.39864343	No	
row_10	ZWILCH	6861	-0.10046660155057907	-0.41530976	No	
row_11	ZW10	7020	-0.1218809187412262	-0.42212036	No	
row_12	BUB1B	7279	-0.15738733112812042	-0.4354082	No	
row_13	CDC20	7316	-0.16177932918071747	-0.42998594	No	
row_14	TPR	8885	-0.4587646424770355	-0.5366472	No	
row_15	SPC24	9291	-0.5591372847557068	-0.5412651	No	
row_16	SPC25	10105	-0.809597373008728	-0.5668146	Yes	
row_17	ZWINT	10265	-0.8802809715270996	-0.53424007	Yes	
row_18	KNTC1	10505	-0.9807878732681274	-0.50309503	Yes	
row_19	NUF2	10661	-1.0460420846939087	-0.46156105	Yes	
row_20	TTK	10873	-1.159531593322754	-0.4187829	Yes	
row_21	FBXO5	10901	-1.180796504020691	-0.35958004	Yes	
row_22	ATM	11296	-1.4420311450958252	-0.3173349	Yes	
row_23	APC	11303	-1.4457392692565918	-0.24259575	Yes	
row_24	MAD2L1	11394	-1.5168453454971313	-0.17114912	Yes	
row_25	NDC80	11491	-1.6283719539642334	-0.09439798	Yes	
row_26	CENPF	11931	-2.6873178482055664	0.008907689	Yes	
