NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNIP1	6	8.397276878356934	0.07432118	Yes	
row_1	MX1	27	7.362607479095459	0.13825497	Yes	
row_2	OAS1	35	6.895366668701172	0.1991103	Yes	
row_3	OAS2	36	6.8472700119018555	0.2601212	Yes	
row_4	OAS3	39	6.6663923263549805	0.31935352	Yes	
row_5	IFITM1	56	5.7086567878723145	0.368884	Yes	
row_6	PLSCR1	73	4.9493489265441895	0.4116488	Yes	
row_7	TNF	80	4.7930192947387695	0.45385516	Yes	
row_8	SLPI	92	4.5289835929870605	0.49329165	Yes	
row_9	STAT1	103	4.280980587005615	0.5306018	Yes	
row_10	IFIH1	104	4.266077518463135	0.56861365	Yes	
row_11	IFITM3	108	4.217900276184082	0.6059458	Yes	
row_12	BST2	128	3.9442877769470215	0.63950497	Yes	
row_13	TRIM14	225	2.880002498626709	0.6571559	Yes	
row_14	IFIT1	262	2.734227180480957	0.6785145	Yes	
row_15	ISG15	395	2.288935899734497	0.6878948	Yes	
row_16	IFITM2	433	2.1826727390289307	0.7042555	Yes	
row_17	N4BP1	464	2.113417625427246	0.72058326	Yes	
row_18	TRIM21	477	2.0940089225769043	0.73824006	Yes	
row_19	ISG20	517	1.9876923561096191	0.7526966	Yes	
row_20	ZNFX1	563	1.907206654548645	0.76593524	Yes	
row_21	TRIM11	880	1.4826682806015015	0.7527777	No	
row_22	TRIM27	940	1.413106083869934	0.7604456	No	
row_23	EIF2AK2	1340	1.133918285369873	0.7372547	No	
row_24	CSNK2B	1405	1.0963234901428223	0.74168277	No	
row_25	APOBEC3G	1539	1.028648853302002	0.73975015	No	
row_26	ILF3	2094	0.7707080841064453	0.700389	No	
row_27	INPP5K	2256	0.7170443534851074	0.6933435	No	
row_28	PPIA	2706	0.5698524117469788	0.6609544	No	
row_29	ZFP36	3018	0.49144163727760315	0.639382	No	
row_30	BANF1	3101	0.47494032979011536	0.6367714	No	
row_31	OASL	3330	0.423893541097641	0.621523	No	
row_32	TRIM62	3505	0.3900556266307831	0.6104792	No	
row_33	IFIT5	3529	0.38572975993156433	0.6119969	No	
row_34	IFI16	3921	0.3083435595035553	0.58211744	No	
row_35	SRPK1	4212	0.257201611995697	0.5602103	No	
row_36	APOBEC3B	4303	0.24074295163154602	0.55484533	No	
row_37	MAVS	4437	0.22189365327358246	0.54572433	No	
row_38	HMGA2	4998	0.13778415322303772	0.50022304	No	
row_39	TRIM32	5715	0.03870784118771553	0.44082162	No	
row_40	SRPK2	5921	0.012791470624506474	0.42382944	No	
row_41	CCL5	6912	-0.1077452227473259	0.34217933	No	
row_42	APOBEC3F	6942	-0.11286745965480804	0.34076512	No	
row_43	TRIM13	7227	-0.14966869354248047	0.31840044	No	
row_44	LARP7	7596	-0.2052217274904251	0.2895214	No	
row_45	UBP1	7753	-0.2307385951280594	0.27855998	No	
row_46	RSAD2	8018	-0.27932652831077576	0.25901946	No	
row_47	APOBEC3D	8385	-0.3541935384273529	0.2316347	No	
row_48	ZC3HAV1	8450	-0.36669421195983887	0.2295616	No	
row_49	HEXIM1	10085	-0.8008126616477966	0.10034856	No	
row_50	TRIM6	10153	-0.8266054391860962	0.10212304	No	
row_51	MID2	10482	-0.96498703956604	0.083351485	No	
row_52	RNASEL	10809	-1.1234798431396484	0.06615903	No	
row_53	APOBEC3C	11710	-1.9494949579238892	0.008429387	No	
row_54	FAM111A	11792	-2.1163177490234375	0.020527296	No	
