NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SAA2	0	10.517439842224121	0.042662855	Yes	
row_1	CCL20	1	9.95085620880127	0.08302742	Yes	
row_2	CXCL1	8	8.326498031616211	0.11629889	Yes	
row_3	SAA1	10	8.245210647583008	0.14966068	Yes	
row_4	IRF9	14	8.003260612487793	0.181873	Yes	
row_5	CXCL5	16	7.8741936683654785	0.2137298	Yes	
row_6	IFI27	25	7.448971748352051	0.24327365	Yes	
row_7	IL6	26	7.387532711029053	0.2732404	Yes	
row_8	MX1	27	7.362607479095459	0.30310598	Yes	
row_9	IL1B	28	7.157459735870361	0.33213946	Yes	
row_10	OAS2	36	6.8472700119018555	0.35932657	Yes	
row_11	NFKB2	43	6.385825157165527	0.3847259	Yes	
row_12	CXCL2	49	6.0033183097839355	0.40865767	Yes	
row_13	CXCL3	55	5.749203681945801	0.4315586	Yes	
row_14	IFITM1	56	5.7086567878723145	0.45471516	Yes	
row_15	IL1A	57	5.542844772338867	0.4771991	Yes	
row_16	IFI6	68	5.209967136383057	0.49749264	Yes	
row_17	TNF	80	4.7930192947387695	0.5160109	Yes	
row_18	IFI44L	82	4.756222248077393	0.53521997	Yes	
row_19	STAT1	103	4.280980587005615	0.55090505	Yes	
row_20	IFIH1	104	4.266077518463135	0.56820995	Yes	
row_21	IFITM3	108	4.217900276184082	0.58506733	Yes	
row_22	BST2	128	3.9442877769470215	0.5994707	Yes	
row_23	CXCL16	138	3.7852795124053955	0.61406916	Yes	
row_24	CXCL6	143	3.694406270980835	0.6287191	Yes	
row_25	FAM83A	155	3.5749893188476562	0.6422965	Yes	
row_26	TRAF3	179	3.3617477416992188	0.65400076	Yes	
row_27	PTGS2	199	3.082746744155884	0.66490936	Yes	
row_28	NLRP1	237	2.8361263275146484	0.67330533	Yes	
row_29	IFIT1	262	2.734227180480957	0.68238014	Yes	
row_30	C1S	287	2.632459878921509	0.6910421	Yes	
row_31	C1R	335	2.4482297897338867	0.6970245	Yes	
row_32	IL33	476	2.0976204872131348	0.69377154	Yes	
row_33	WDR74	575	1.885205864906311	0.69318545	Yes	
row_34	CEBPB	589	1.8548537492752075	0.6996173	Yes	
row_35	LGALS3BP	709	1.6786351203918457	0.696429	Yes	
row_36	TGFBR2	786	1.5775703191757202	0.6964433	Yes	
row_37	TRAF2	793	1.5721336603164673	0.70231646	Yes	
row_38	RAC1	824	1.53269362449646	0.70601326	Yes	
row_39	FYN	854	1.5022729635238647	0.7096707	Yes	
row_40	MYD88	965	1.3927786350250244	0.706079	Yes	
row_41	VPS18	973	1.3834367990493774	0.71110266	Yes	
row_42	MTOR	1219	1.1969062089920044	0.6953748	No	
row_43	LARP1	1225	1.194014310836792	0.6997981	No	
row_44	TP53I3	1278	1.165906310081482	0.70015883	No	
row_45	MMP25	1293	1.1599410772323608	0.70368785	No	
row_46	MLST8	1357	1.1255594491958618	0.7029607	No	
row_47	SIGMAR1	1360	1.1252878904342651	0.70735735	No	
row_48	IKBKG	1423	1.0830146074295044	0.7065417	No	
row_49	ACTG1	1440	1.0749402046203613	0.7095579	No	
row_50	RRAS	1515	1.0416879653930664	0.70756644	No	
row_51	ACE2	1559	1.0187432765960693	0.7080863	No	
row_52	JAK1	1612	0.9917203187942505	0.7077405	No	
row_53	SDF2	1667	0.9568315148353577	0.7070851	No	
row_54	FOS	1946	0.8346365690231323	0.68711525	No	
row_55	CTSZ	1961	0.8288264274597168	0.68930113	No	
row_56	IRAK1	2015	0.806915819644928	0.6881216	No	
row_57	PRKCQ	2149	0.7524814605712891	0.68000036	No	
row_58	JUN	2398	0.668042778968811	0.6618751	No	
row_59	PITRM1	2469	0.6452975273132324	0.65861183	No	
row_60	AKT1S1	2657	0.5825085043907166	0.6452644	No	
row_61	ITIH4	2760	0.5555999279022217	0.63894886	No	
row_62	MDN1	2845	0.5334010720252991	0.6340555	No	
row_63	PARP2	2902	0.5180762410163879	0.63145226	No	
row_64	CARD11	3143	0.4649222791194916	0.6131752	No	
row_65	APOL1	3231	0.4489010274410248	0.60768706	No	
row_66	GTF2F2	3431	0.4037182033061981	0.5926062	No	
row_67	RPS6	3593	0.37131327390670776	0.58058643	No	
row_68	FAM98A	3612	0.36756622791290283	0.58056515	No	
row_69	RPTOR	3744	0.3400897681713104	0.57093906	No	
row_70	RRM2	3773	0.3345617949962616	0.56994385	No	
row_71	ATE1	3821	0.3265884816646576	0.56732005	No	
row_72	CD226	3954	0.302852064371109	0.5574589	No	
row_73	TBKBP1	4160	0.2652331292629242	0.5413122	No	
row_74	SRP19	4325	0.23692770302295685	0.52849525	No	
row_75	MAVS	4437	0.22189365327358246	0.52006996	No	
row_76	EIF4EBP1	4459	0.21923471987247467	0.519195	No	
row_77	CASP8	4673	0.18476614356040955	0.50204986	No	
row_78	C1QBP	4844	0.15954452753067017	0.48841488	No	
row_79	MOV10	4917	0.14738306403160095	0.48296386	No	
row_80	BIRC5	5243	0.1021178737282753	0.45607403	No	
row_81	APOC1	5423	0.07576966285705566	0.44134316	No	
row_82	OS9	5757	0.03317542374134064	0.4135016	No	
row_83	IRF3	5886	0.017104189842939377	0.40281737	No	
