NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TENM2	593	1.8464399576187134	0.04334974	No	
row_1	ARAP1	3363	0.4167092740535736	-0.16606264	No	
row_2	MIEN1	4281	0.24441370368003845	-0.23007193	No	
row_3	FSCN1	5200	0.10794375091791153	-0.30101407	No	
row_4	RALA	6084	-0.0037339103873819113	-0.37427533	No	
row_5	WASL	6377	-0.03996382653713226	-0.39655825	No	
row_6	CDC42	9978	-0.7677046656608582	-0.65747684	Yes	
row_7	DOCK11	10258	-0.8772364258766174	-0.6366543	Yes	
row_8	FNBP1L	10589	-1.013601303100586	-0.61322963	Yes	
row_9	DPYSL3	10608	-1.0225290060043335	-0.5634044	Yes	
row_10	PALM	11357	-1.4825451374053955	-0.5512122	Yes	
row_11	FMR1	11375	-1.4996483325958252	-0.47735634	Yes	
row_12	MYO3B	11413	-1.5376441478729248	-0.40325704	Yes	
row_13	RHOQ	11515	-1.6541897058486938	-0.3286317	Yes	
row_14	PIK3R1	11778	-2.0744476318359375	-0.246305	Yes	
row_15	TGFB3	11889	-2.4391353130340576	-0.13303052	Yes	
row_16	NRP1	11954	-2.895721197128296	0.006987104	Yes	
