NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFI27	25	7.448971748352051	0.08959199	Yes	
row_1	MX1	27	7.362607479095459	0.18012042	Yes	
row_2	OAS1	35	6.895366668701172	0.2643987	Yes	
row_3	OAS2	36	6.8472700119018555	0.34866816	Yes	
row_4	OAS3	39	6.6663923263549805	0.43054494	Yes	
row_5	IFITM1	56	5.7086567878723145	0.4994686	Yes	
row_6	STAT1	103	4.280980587005615	0.5483226	Yes	
row_7	IFITM3	108	4.217900276184082	0.5998992	Yes	
row_8	IKBKE	129	3.9224307537078857	0.6465065	Yes	
row_9	TRAF3	179	3.3617477416992188	0.6837976	Yes	
row_10	IFIT1	262	2.734227180480957	0.71061677	Yes	
row_11	ISG15	395	2.288935899734497	0.7277904	Yes	
row_12	STAT2	407	2.227684259414673	0.75429016	Yes	
row_13	IFITM2	433	2.1826727390289307	0.7790697	Yes	
row_14	SHMT2	502	2.02089786529541	0.7982762	Yes	
row_15	SP100	518	1.9861204624176025	0.8214698	Yes	
row_16	MYD88	965	1.3927786350250244	0.80145645	Yes	
row_17	IFNAR2	1185	1.2174395322799683	0.7981956	Yes	
row_18	TRIM65	1196	1.2114356756210327	0.8122717	Yes	
row_19	HDAC4	1230	1.1917723417282104	0.8241898	Yes	
row_20	JAK1	1612	0.9917203187942505	0.8046555	No	
row_21	IRAK1	2015	0.806915819644928	0.78109735	No	
row_22	TYK2	2358	0.6833732724189758	0.76101714	No	
row_23	SIN3A	2924	0.5124008655548096	0.7202556	No	
row_24	OASL	3330	0.423893541097641	0.6917338	No	
row_25	IFNAR1	4097	0.27870193123817444	0.63135165	No	
row_26	TBKBP1	4160	0.2652331292629242	0.629451	No	
row_27	MAVS	4437	0.22189365327358246	0.60918945	No	
row_28	TBK1	6083	-0.0036251109559088945	0.47219643	No	
row_29	TRIM56	7359	-0.16696582734584808	0.3680367	No	
row_30	SETD2	7423	-0.1777840256690979	0.36497644	No	
row_31	AZI2	7532	-0.1963929682970047	0.35839644	No	
row_32	TANK	8008	-0.27699512243270874	0.32223526	No	
row_33	IFNE	8732	-0.42513421177864075	0.26723748	No	
row_34	SMPD1	9646	-0.6571401357650757	0.19926693	No	
