NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SAA2	0	10.517439842224121	0.111571945	Yes	
row_1	SAA1	10	8.245210647583008	0.19828963	Yes	
row_2	IL6	26	7.387532711029053	0.27540895	Yes	
row_3	IL1B	28	7.157459735870361	0.351254	Yes	
row_4	PLAT	34	6.988145351409912	0.4249696	Yes	
row_5	NFKB2	43	6.385825157165527	0.49204573	Yes	
row_6	SERPINA3	46	6.114709854125977	0.55674565	Yes	
row_7	XDH	71	5.0364227294921875	0.60817397	Yes	
row_8	TNF	80	4.7930192947387695	0.65835315	Yes	
row_9	KYNU	96	4.428436279296875	0.70408154	Yes	
row_10	NFKB1	107	4.2198052406311035	0.74801326	Yes	
row_11	ALOX15B	110	4.200047016143799	0.7924019	Yes	
row_12	LDLR	165	3.465073585510254	0.82466155	Yes	
row_13	PTGS2	199	3.082746744155884	0.85461485	Yes	
row_14	FLAD1	912	1.4430246353149414	0.81060433	No	
row_15	KMO	1022	1.3362582921981812	0.8156987	No	
row_16	INSR	1679	0.9538683295249939	0.7711646	No	
row_17	RELA	1778	0.9035739302635193	0.77258533	No	
row_18	GPX4	2947	0.5076796412467957	0.6806619	No	
row_19	TXNRD2	3032	0.4883100390434265	0.6788438	No	
row_20	SCARB1	3562	0.3783699870109558	0.63878536	No	
row_21	GPX1	4213	0.2571197748184204	0.5873598	No	
row_22	PRDX5	4486	0.21637968719005585	0.56699425	No	
row_23	CBS	6163	-0.013667568564414978	0.42750746	No	
row_24	MTR	6265	-0.02666863426566124	0.4193758	No	
row_25	ALOX5	7329	-0.16323989629745483	0.3325463	No	
row_26	CTH	7374	-0.16899046301841736	0.33067325	No	
row_27	ABCA1	7943	-0.2645820081233978	0.2861585	No	
row_28	ALOX5AP	8075	-0.29058143496513367	0.27832714	No	
row_29	GPX2	8325	-0.3421227037906647	0.26121166	No	
row_30	MSRB1	8856	-0.4534417688846588	0.22186625	No	
row_31	PTGS1	9096	-0.5063983798027039	0.20732658	No	
row_32	PRDX3	9185	-0.5279273986816406	0.20559548	No	
row_33	TXN	9276	-0.5559073686599731	0.20399457	No	
row_34	SEPHS2	10213	-0.8521658778190613	0.13505408	No	
row_35	GPX3	11458	-1.5938447713851929	0.048321273	No	
