NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ROBO1	1531	1.0329898595809937	-0.08439732	No	
row_1	B4GALT5	2564	0.6098350882530212	-0.1448905	No	
row_2	SZT2	2834	0.5355592966079712	-0.14496447	No	
row_3	GBA2	2978	0.5004944205284119	-0.13601106	No	
row_4	B4GALT6	3199	0.4556395411491394	-0.13533662	No	
row_5	WNT5A	3350	0.4184107184410095	-0.13038659	No	
row_6	C12orf57	4795	0.16606511175632477	-0.24366926	No	
row_7	RAPGEF2	5591	0.05401673913002014	-0.3075965	No	
row_8	SPAST	5735	0.03614677116274834	-0.31799394	No	
row_9	ROBO2	5893	0.016351934522390366	-0.33038166	No	
row_10	TSKU	6115	-0.007797447498887777	-0.34845346	No	
row_11	MYCBP2	6697	-0.0805726870894432	-0.39346	No	
row_12	PLXNA3	7070	-0.1268661916255951	-0.41913956	No	
row_13	SCYL2	7606	-0.20699381828308105	-0.45504856	No	
row_14	LHX6	8828	-0.4465208947658539	-0.5380805	No	
row_15	PAFAH1B1	9623	-0.6524654626846313	-0.5769853	Yes	
row_16	ARHGAP35	9982	-0.7680205702781677	-0.5747805	Yes	
row_17	ZMIZ1	10098	-0.8074135184288025	-0.55070597	Yes	
row_18	TAOK1	10999	-1.2296994924545288	-0.5743794	Yes	
row_19	MAP2	11167	-1.3342252969741821	-0.5326796	Yes	
row_20	NFIB	11196	-1.3560874462127686	-0.47849795	Yes	
row_21	PTEN	11596	-1.7695151567459106	-0.4379707	Yes	
row_22	FGFR2	11849	-2.2754483222961426	-0.36412287	Yes	
row_23	ATP7A	11854	-2.2892062664031982	-0.2690574	Yes	
row_24	SEMA3E	11920	-2.6130950450897217	-0.16557229	Yes	
row_25	EPHA4	12022	-4.206826686859131	0.0013319	Yes	
