NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFI27	25	7.448971748352051	0.03171438	Yes	
row_1	IL6	26	7.387532711029053	0.065252975	Yes	
row_2	MX1	27	7.362607479095459	0.09867841	Yes	
row_3	OAS1	35	6.895366668701172	0.12939374	Yes	
row_4	OAS2	36	6.8472700119018555	0.1604796	Yes	
row_5	OAS3	39	6.6663923263549805	0.19057605	Yes	
row_6	IFITM1	56	5.7086567878723145	0.21514672	Yes	
row_7	IFI6	68	5.209967136383057	0.23787402	Yes	
row_8	PLSCR1	73	4.9493489265441895	0.26000702	Yes	
row_9	MX2	79	4.796943664550781	0.281364	Yes	
row_10	TNF	80	4.7930192947387695	0.30312377	Yes	
row_11	IFI44L	82	4.756222248077393	0.32463238	Yes	
row_12	STAT1	103	4.280980587005615	0.34238505	Yes	
row_13	IFIH1	104	4.266077518463135	0.3617526	Yes	
row_14	IFITM3	108	4.217900276184082	0.38064903	Yes	
row_15	IRF7	124	4.008362770080566	0.39758468	Yes	
row_16	BST2	128	3.9442877769470215	0.41523892	Yes	
row_17	IKBKE	129	3.9224307537078857	0.43304634	Yes	
row_18	SAMHD1	142	3.699425458908081	0.44883183	Yes	
row_19	GBP5	159	3.5262017250061035	0.4634944	Yes	
row_20	TRAF3	179	3.3617477416992188	0.47715795	Yes	
row_21	IFIT3	216	2.942748785018921	0.4874892	Yes	
row_22	TLR2	219	2.9251511096954346	0.5006008	Yes	
row_23	NLRP1	237	2.8361263275146484	0.5120464	Yes	
row_24	TRIM25	258	2.7509500980377197	0.5228529	Yes	
row_25	IFIT1	262	2.734227180480957	0.5350136	Yes	
row_26	MLKL	295	2.599611282348633	0.54412353	Yes	
row_27	PML	312	2.533876419067383	0.55428106	Yes	
row_28	ISG15	395	2.288935899734497	0.5577743	Yes	
row_29	STAT2	407	2.227684259414673	0.56696236	Yes	
row_30	RIPK3	429	2.188511371612549	0.5751313	Yes	
row_31	IFITM2	433	2.1826727390289307	0.584788	Yes	
