NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL20	1	9.95085620880127	0.029551076	Yes	
row_1	INHBA	3	8.808507919311523	0.055700064	Yes	
row_2	TNFAIP3	4	8.668220520019531	0.08151535	Yes	
row_3	CXCL1	8	8.326498031616211	0.106060654	Yes	
row_4	HBEGF	17	7.797242164611816	0.12860931	Yes	
row_5	LIF	20	7.6892900466918945	0.151341	Yes	
row_6	ZC3H12A	22	7.492194175720215	0.17356981	Yes	
row_7	IL6	26	7.387532711029053	0.19531874	Yes	
row_8	IL1B	28	7.157459735870361	0.21655065	Yes	
row_9	BIRC3	32	7.045902729034424	0.23728216	Yes	
row_10	TNFAIP2	38	6.7388715744018555	0.2569311	Yes	
row_11	MAFF	42	6.494907379150391	0.27602166	Yes	
row_12	NFKB2	43	6.385825157165527	0.2950396	Yes	
row_13	CSF2	47	6.102384567260742	0.31296116	Yes	
row_14	NFKBIA	48	6.099493980407715	0.3311264	Yes	
row_15	CXCL2	49	6.0033183097839355	0.3490052	Yes	
row_16	BCL2A1	54	5.780422210693359	0.3658838	Yes	
row_17	CXCL3	55	5.749203681945801	0.3830058	Yes	
row_18	IL1A	57	5.542844772338867	0.39942914	Yes	
row_19	G0S2	62	5.301146984100342	0.41488042	Yes	
row_20	EFNA1	64	5.279545307159424	0.4305196	Yes	
row_21	EDN1	69	5.181379795074463	0.4456142	Yes	
row_22	TNF	80	4.7930192947387695	0.45904765	Yes	
row_23	SOCS3	84	4.694581508636475	0.47277653	Yes	
row_24	DRAM1	89	4.610498428344727	0.48617095	Yes	
row_25	DUSP4	93	4.522659778594971	0.49938786	Yes	
row_26	FOSL1	94	4.451502323150635	0.5126451	Yes	
row_27	KYNU	96	4.428436279296875	0.52574956	Yes	
row_28	IFIH1	104	4.266077518463135	0.537866	Yes	
row_29	NFKB1	107	4.2198052406311035	0.550265	Yes	
row_30	PLAUR	109	4.200084209442139	0.5626894	Yes	
row_31	MAP3K8	111	4.1941819190979	0.57509625	Yes	
row_32	VEGFA	117	4.121660232543945	0.5869507	Yes	
row_33	BMP2	118	4.095542907714844	0.59914786	Yes	
row_34	SERPINB2	123	4.01250696182251	0.61076134	Yes	
row_35	EHD1	127	3.949596643447876	0.6222716	Yes	
row_36	TNC	136	3.816760778427124	0.63296574	Yes	
row_37	F3	139	3.7586522102355957	0.6439914	Yes	
row_38	CXCL6	143	3.694406270980835	0.65474164	Yes	
row_39	LDLR	165	3.465073585510254	0.66329527	Yes	
row_40	IL7R	170	3.406096935272217	0.6731028	Yes	
row_41	TAP1	182	3.319263458251953	0.6820631	Yes	
row_42	B4GALT1	191	3.1741127967834473	0.69084334	Yes	
row_43	PTGS2	199	3.082746744155884	0.6994356	Yes	
row_44	LAMB3	210	2.979501247406006	0.7074681	Yes	
row_45	SERPINB8	211	2.975222110748291	0.7163288	Yes	
row_46	PPP1R15A	213	2.9642796516418457	0.72507274	Yes	
row_47	RELB	227	2.8687775135040283	0.73252326	Yes	
row_48	NAMPT	254	2.7774782180786133	0.73860866	Yes	
row_49	NFKBIE	277	2.6643123626708984	0.7446934	Yes	
row_50	SDC4	286	2.634286642074585	0.751866	Yes	
row_51	MYC	317	2.5197856426239014	0.7568476	Yes	
row_52	BTG1	340	2.432108163833618	0.7622408	Yes	
row_53	BTG3	358	2.373676300048828	0.76788044	Yes	
row_54	TUBB2A	366	2.357862949371338	0.77431387	Yes	
row_55	SLC2A6	438	2.1663055419921875	0.77479506	Yes	
row_56	IFNGR2	467	2.109227180480957	0.77872217	Yes	
row_57	CYR61	479	2.086099624633789	0.7840099	Yes	
row_58	MAP2K3	501	2.025677442550659	0.78827673	Yes	
row_59	TNIP2	524	1.9712995290756226	0.7922976	Yes	
row_60	DUSP5	550	1.922767996788025	0.7959216	Yes	
row_61	CEBPB	589	1.8548537492752075	0.79825026	Yes	
row_62	CSF1	607	1.8321489095687866	0.80227715	Yes	
row_63	IRF1	622	1.814659833908081	0.80650425	Yes	
row_64	IL23A	641	1.7839627265930176	0.8103035	Yes	
row_65	SQSTM1	909	1.4472293853759766	0.7921615	No	
row_66	FOSB	998	1.3593997955322266	0.7888101	No	
row_67	CLCF1	1098	1.28406822681427	0.7843093	No	
row_68	TRIB1	1184	1.2180215120315552	0.7807891	No	
row_69	YRDC	1349	1.1294625997543335	0.770362	No	
row_70	IL15RA	1502	1.0458929538726807	0.76069516	No	
row_71	TGIF1	1563	1.0181605815887451	0.75868195	No	
row_72	CD83	1663	0.9604224562644958	0.75321734	No	
row_73	NINJ1	1684	0.9517108201980591	0.75436985	No	
row_74	RNF19B	1734	0.926649808883667	0.75300914	No	
row_75	PANX1	1753	0.9167669415473938	0.7542258	No	
row_76	RELA	1778	0.9035739302635193	0.7548986	No	
row_77	ICOSLG	1917	0.8493987917900085	0.74582386	No	
row_78	FOSL2	1924	0.8458675742149353	0.74783844	No	
row_79	FOS	1946	0.8346365690231323	0.7485582	No	
row_80	ATF3	2129	0.7571279406547546	0.7355086	No	
row_81	KLF6	2141	0.7534366250038147	0.7368275	No	
row_82	PHLDA1	2145	0.7529430985450745	0.7388176	No	
row_83	JUN	2398	0.668042778968811	0.7196164	No	
row_84	B4GALT5	2564	0.6098350882530212	0.70755774	No	
row_85	RCAN1	2615	0.5929819941520691	0.7051192	No	
row_86	TRIP10	2882	0.5229440927505493	0.68430865	No	
row_87	ZFP36	3018	0.49144163727760315	0.67442006	No	
row_88	GADD45A	3084	0.4786159098148346	0.6703796	No	
row_89	CDKN1A	3165	0.46115630865097046	0.6650258	No	
row_90	MXD1	3236	0.4473637342453003	0.6604718	No	
row_91	IER5	3452	0.4005153775215149	0.6435852	No	
row_92	ETS2	3544	0.38197076320648193	0.63707054	No	
row_93	LITAF	3552	0.3796974718570709	0.6376127	No	
row_94	PHLDA2	3995	0.297263503074646	0.60133016	No	
row_95	GEM	4085	0.28097403049468994	0.59468293	No	
row_96	TRAF1	4331	0.23584014177322388	0.5747832	No	
row_97	CCND1	4419	0.2240435630083084	0.5681346	No	
row_98	KDM6B	4445	0.22129201889038086	0.5666914	No	
row_99	IER2	4455	0.2199373096227646	0.5665896	No	
row_100	PTGER4	4543	0.20681807398796082	0.5598897	No	
row_101	SIK1	4643	0.19047024846076965	0.552132	No	
row_102	PER1	4778	0.16888317465782166	0.5413669	No	
row_103	OLR1	4803	0.16481725871562958	0.53983957	No	
row_104	GADD45B	4937	0.14438828825950623	0.52908564	No	
row_105	SGK1	5153	0.11443533003330231	0.51134706	No	
row_106	CCNL1	5539	0.0609915554523468	0.47915396	No	
row_107	AREG	5577	0.05626530200242996	0.4762102	No	
row_108	SNN	5614	0.05107579380273819	0.47333506	No	
row_109	DENND5A	5632	0.04880029335618019	0.47205088	No	
row_110	HES1	6234	-0.021734220907092094	0.42157742	No	
row_111	RIPK2	6254	-0.02512412518262863	0.42005453	No	
row_112	PTPRE	6292	-0.030208785086870193	0.41703317	No	
row_113	CD44	6316	-0.03232288733124733	0.41519535	No	
row_114	JUNB	6344	-0.035384371876716614	0.4130303	No	
row_115	SPHK1	6352	-0.0362684465944767	0.41254967	No	
row_116	KLF10	6500	-0.05428871884942055	0.40035012	No	
row_117	ATP2B1	6808	-0.09433647990226746	0.3748154	No	
row_118	IL6ST	6882	-0.10417172312736511	0.36898705	No	
row_119	CCL5	6912	-0.1077452227473259	0.36686933	No	
row_120	FUT4	7145	-0.1378219574689865	0.34777087	No	
row_121	BCL6	7203	-0.1467810869216919	0.34341484	No	
row_122	EGR1	7491	-0.18927991390228271	0.3198447	No	
row_123	PLK2	7701	-0.22206942737102509	0.30293122	No	
row_124	F2RL1	7713	-0.22354628145694733	0.30267197	No	
row_125	REL	7815	-0.24082165956497192	0.29489607	No	
row_126	ABCA1	7943	-0.2645820081233978	0.2850046	No	
row_127	TANK	8008	-0.27699512243270874	0.28044775	No	
row_128	SLC2A3	8258	-0.3285725712776184	0.26048785	No	
row_129	MCL1	8381	-0.3532639443874359	0.25128093	No	
row_130	BIRC2	8514	-0.3776729106903076	0.2413058	No	
row_131	PNRC1	9197	-0.531299352645874	0.1855386	No	
row_132	TIPARP	9285	-0.5580145716667175	0.17988461	No	
row_133	SPSB1	9287	-0.5586841702461243	0.18146437	No	
row_134	KLF4	9440	-0.603991687297821	0.17048146	No	
row_135	BTG2	9597	-0.6471453905105591	0.15929069	No	
row_136	IL18	9884	-0.735711932182312	0.13743196	No	
row_137	NFAT5	10288	-0.8895816802978516	0.106192954	No	
row_138	CEBPD	10679	-1.0540858507156372	0.07653703	No	
row_139	NFE2L2	10846	-1.14601469039917	0.06599107	No	
row_140	MARCKS	10956	-1.2053205966949463	0.06041487	No	
row_141	IFIT2	11108	-1.2906261682510376	0.051560942	No	
row_142	FJX1	11131	-1.3066824674606323	0.053602457	No	
row_143	KLF9	11324	-1.4625352621078491	0.041812804	No	
row_144	RHOB	11546	-1.7005648612976074	0.028293423	No	
row_145	DNAJB4	11787	-2.094614028930664	0.0143498685	No	
row_146	NFIL3	11835	-2.2405388355255127	0.017070299	No	
