NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAD1L1	2579	0.6034303903579712	-0.19063742	No	
row_1	KLHL22	2887	0.5217132568359375	-0.19529617	No	
row_2	IK	2926	0.5120157599449158	-0.17793632	No	
row_3	TOM1L1	3089	0.47739744186401367	-0.17229325	No	
row_4	ZNF207	3160	0.46222957968711853	-0.15959474	No	
row_5	TOM1L2	3461	0.39883849024772644	-0.16859607	No	
row_6	NME6	3566	0.3774111270904541	-0.16212985	No	
row_7	TRIP13	4054	0.2851520776748657	-0.19126537	No	
row_8	BUB3	4280	0.24477411806583405	-0.2001953	No	
row_9	CHEK1	4886	0.15306246280670166	-0.24445514	No	
row_10	MAD2L2	5162	0.11361765116453171	-0.26280767	No	
row_11	BUB1	5755	0.03347925469279289	-0.31077838	No	
row_12	PLK1	6347	-0.03581346943974495	-0.3585722	No	
row_13	ZWILCH	6861	-0.10046660155057907	-0.397277	No	
row_14	ZW10	7020	-0.1218809187412262	-0.40555233	No	
row_15	BUB1B	7279	-0.15738733112812042	-0.4207342	No	
row_16	CDC20	7316	-0.16177932918071747	-0.41724768	No	
row_17	HORMAD1	7644	-0.21194598078727722	-0.43599007	No	
row_18	RAD1	8510	-0.3772820234298706	-0.49291924	No	
row_19	TPR	8885	-0.4587646424770355	-0.5056824	No	
row_20	SPC24	9291	-0.5591372847557068	-0.5170042	No	
row_21	SPC25	10105	-0.809597373008728	-0.5522716	Yes	
row_22	ZWINT	10265	-0.8802809715270996	-0.53022826	Yes	
row_23	KNTC1	10505	-0.9807878732681274	-0.51081973	Yes	
row_24	NUF2	10661	-1.0460420846939087	-0.48179832	Yes	
row_25	TTK	10873	-1.159531593322754	-0.45289215	Yes	
row_26	FBXO5	10901	-1.180796504020691	-0.40780658	Yes	
row_27	ATM	11296	-1.4420311450958252	-0.3828195	Yes	
row_28	APC	11303	-1.4457392692565918	-0.32536387	Yes	
row_29	MAD2L1	11394	-1.5168453454971313	-0.27205494	Yes	
row_30	NDC80	11491	-1.6283719539642334	-0.21477501	Yes	
row_31	BMP4	11660	-1.880163311958313	-0.153399	Yes	
row_32	BMP7	11686	-1.9206408262252808	-0.07848867	Yes	
row_33	CENPF	11931	-2.6873178482055664	0.008913058	Yes	
