NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL6	26	7.387532711029053	0.08978994	Yes	
row_1	IL1B	28	7.157459735870361	0.17879719	Yes	
row_2	BIRC3	32	7.045902729034424	0.26624936	Yes	
row_3	NFKB2	43	6.385825157165527	0.34490272	Yes	
row_4	CSF2	47	6.102384567260742	0.42061073	Yes	
row_5	CXCL2	49	6.0033183097839355	0.49525213	Yes	
row_6	MMP9	50	6.001958847045898	0.5699598	Yes	
row_7	BCL2A1	54	5.780422210693359	0.64166033	Yes	
row_8	IL1A	57	5.542844772338867	0.7104868	Yes	
row_9	TNF	80	4.7930192947387695	0.76831526	Yes	
row_10	NFKB1	107	4.2198052406311035	0.8186758	Yes	
row_11	VEGFA	117	4.121660232543945	0.86922985	Yes	
row_12	PTGS2	199	3.082746744155884	0.90085876	Yes	
row_13	RELB	227	2.8687775135040283	0.9343195	Yes	
row_14	RELA	1778	0.9035739302635193	0.8165396	No	
row_15	MMP3	2253	0.7178124785423279	0.7860171	No	
row_16	IKBKB	2381	0.6726953983306885	0.7838184	No	
row_17	MMP2	4413	0.22473426163196564	0.6175489	No	
row_18	CCND1	4419	0.2240435630083084	0.6199214	No	
row_19	BIRC5	5243	0.1021178737282753	0.55268335	No	
row_20	BCL2L2	5417	0.0761445015668869	0.5392301	No	
row_21	TNFRSF1A	5720	0.03818041831254959	0.5145659	No	
row_22	TRAF6	6045	6.382265564752743E-5	0.48759592	No	
row_23	REL	7815	-0.24082165956497192	0.34333634	No	
row_24	CHUK	7962	-0.2676877975463867	0.3345148	No	
row_25	BIRC2	8514	-0.3776729106903076	0.29334882	No	
