NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NSUN2	1145	1.24861741065979	-0.041514255	No	
row_1	NCL	1481	1.0587388277053833	-0.023804875	No	
row_2	AURKB	4247	0.25149640440940857	-0.2430482	No	
row_3	PPP2R5D	4365	0.22948221862316132	-0.24290319	No	
row_4	NPM1	4676	0.1843566745519638	-0.2607603	No	
row_5	BIRC5	5243	0.1021178737282753	-0.3034596	No	
row_6	INCENP	5805	0.028227880597114563	-0.34892425	No	
row_7	AURKA	7654	-0.21308070421218872	-0.49351937	No	
row_8	AURKC	8363	-0.35095593333244324	-0.5373205	No	
row_9	KIF23	8475	-0.3706284165382385	-0.5305992	No	
row_10	CDCA8	8706	-0.4204864501953125	-0.53163296	No	
row_11	TACC1	9688	-0.6705135703086853	-0.5843914	Yes	
row_12	KLHL9	9744	-0.6925563812255859	-0.55914974	Yes	
row_13	KIF20A	10279	-0.8850714564323425	-0.5654761	Yes	
row_14	SMC4	11036	-1.2482988834381104	-0.574636	Yes	
row_15	NCAPG	11445	-1.581288456916809	-0.54050237	Yes	
row_16	SMC2	11634	-1.839229702949524	-0.4769571	Yes	
row_17	KLHL13	11717	-1.963240385055542	-0.39925244	Yes	
row_18	PPP1CC	11794	-2.1194355487823486	-0.3143235	Yes	
row_19	CENPA	11959	-2.949084520339966	-0.20099624	Yes	
row_20	MYLK	12032	-4.819077014923096	4.991924E-4	Yes	
