NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
FIBROBLAST GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0008543	FIBROBLAST GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0008543	Details ...	20	-0.68864316	-1.9109896	0.0	0.7293661	0.611	1970	tags=50%, list=16%, signal=60%	
NEGATIVE REGULATION OF MITOTIC NUCLEAR DIVISION%GOBP%GO:0045839	NEGATIVE REGULATION OF MITOTIC NUCLEAR DIVISION%GOBP%GO:0045839	Details ...	32	-0.6027693	-1.8841482	0.0025608195	0.5358691	0.746	1935	tags=41%, list=16%, signal=48%	
NEGATIVE REGULATION OF CHROMOSOME SEGREGATION%GOBP%GO:0051985	NEGATIVE REGULATION OF CHROMOSOME SEGREGATION%GOBP%GO:0051985	Details ...	27	-0.6089474	-1.8644232	0.0024539877	0.46417218	0.8265	1935	tags=41%, list=16%, signal=48%	
NEGATIVE REGULATION OF NUCLEAR DIVISION%GOBP%GO:0051784	NEGATIVE REGULATION OF NUCLEAR DIVISION%GOBP%GO:0051784	Details ...	34	-0.584726	-1.8611249	0.0	0.3619995	0.84	1935	tags=38%, list=16%, signal=45%	
CENTRAL NERVOUS SYSTEM NEURON DEVELOPMENT%GOBP%GO:0021954	CENTRAL NERVOUS SYSTEM NEURON DEVELOPMENT%GOBP%GO:0021954	Details ...	26	-0.62562484	-1.859651	0.0012315271	0.29478565	0.8455	1041	tags=31%, list=9%, signal=34%	
POSITIVE REGULATION OF FILOPODIUM ASSEMBLY%GOBP%GO:0051491	POSITIVE REGULATION OF FILOPODIUM ASSEMBLY%GOBP%GO:0051491	Details ...	17	-0.6960093	-1.8595227	0.0023337223	0.24591415	0.8455	2062	tags=65%, list=17%, signal=78%	
INTRACILIARY TRANSPORT%GOBP%GO:0042073	INTRACILIARY TRANSPORT%GOBP%GO:0042073	Details ...	31	-0.58250296	-1.8455704	0.0025062656	0.25120714	0.888	2098	tags=39%, list=17%, signal=47%	
NEGATIVE REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905819	NEGATIVE REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905819	Details ...	27	-0.6089474	-1.84007	0.0012437811	0.23716296	0.909	1935	tags=41%, list=16%, signal=48%	
NEGATIVE REGULATION OF MITOTIC METAPHASE/ANAPHASE TRANSITION%GOBP%GO:0045841	NEGATIVE REGULATION OF MITOTIC METAPHASE/ANAPHASE TRANSITION%GOBP%GO:0045841	Details ...	26	-0.61162716	-1.8353709	0.0	0.22242947	0.921	1935	tags=42%, list=16%, signal=50%	
NEGATIVE REGULATION OF SISTER CHROMATID SEGREGATION%GOBP%GO:0033046	NEGATIVE REGULATION OF SISTER CHROMATID SEGREGATION%GOBP%GO:0033046	Details ...	26	-0.61162716	-1.8269622	0.0	0.22172141	0.945	1935	tags=42%, list=16%, signal=50%	
